step_ms,FL_hip,FL_knee,FR_hip,FR_knee,RL_hip,RL_knee,RR_hip,RR_knee
2480.00,0.840344,-1.033882,0.472365,-1.076103,0.630513,-1.115440,0.828327,-1.041579
2490.00,0.856053,-1.063882,0.486379,-1.046103,0.620826,-1.094862,0.798327,-1.071579
2500.00,0.856862,-1.093882,0.514735,-1.016103,0.625929,-1.064862,0.768327,-1.101579
2510.00,0.842800,-1.115808,0.544735,-1.000000,0.645801,-1.034862,0.747224,-1.118771
2520.00,0.814030,-1.123205,0.574735,-1.000000,0.675801,-1.004862,0.740254,-1.121259
2530.00,0.784030,-1.115896,0.590444,-1.007499,0.705801,-1.000000,0.747862,-1.109107
2540.00,0.754030,-1.093789,0.591277,-1.029645,0.735801,-1.000000,0.769963,-1.082431
2550.00,0.735712,-1.063789,0.577287,-1.059645,0.751215,-1.013696,0.799963,-1.052431
2560.00,0.732203,-1.033789,0.548447,-1.089645,0.751722,-1.042218,0.829963,-1.022431
2570.00,0.743503,-1.003789,0.518447,-1.117722,0.737362,-1.072218,0.859963,-1.000000
2580.00,0.769642,-1.000000,0.488447,-1.131007,0.708093,-1.102218,0.875437,-1.000000
2590.00,0.799642,-1.000000,0.469193,-1.129479,0.678093,-1.119887,0.876066,-1.002214
2600.00,0.829642,-1.012834,0.464586,-1.113147,0.648094,-1.123067,0.861847,-1.019182
2610.00,0.858710,-1.040385,0.474784,-1.083147,0.630151,-1.111725,0.832823,-1.049182
2620.00,0.873150,-1.070385,0.499459,-1.053147,0.626941,-1.086237,0.802823,-1.079182
2630.00,0.872687,-1.100385,0.529459,-1.023147,0.638373,-1.056237,0.772823,-1.109182
2640.00,0.857313,-1.117562,0.559459,-1.007106,0.664611,-1.026237,0.756432,-1.124819
2650.00,0.827313,-1.120045,0.589459,-1.005860,0.694611,-1.000000,0.754678,-1.125607
2660.00,0.797313,-1.107748,0.604784,-1.019280,0.724611,-1.000000,0.767623,-1.111729
2670.00,0.767313,-1.080629,0.605238,-1.047300,0.749344,-1.000000,0.794985,-1.083360
2680.00,0.751712,-1.050629,0.590867,-1.077300,0.759242,-1.014109,0.824985,-1.053360
2690.00,0.750959,-1.020629,0.561620,-1.107300,0.754296,-1.043075,0.854985,-1.023360
2700.00,0.765031,-1.000000,0.531620,-1.124685,0.734447,-1.073075,0.874900,-1.004857
2710.00,0.793866,-1.000000,0.501620,-1.127225,0.704447,-1.103075,0.880050,-1.001001
2720.00,0.823866,-1.000073,0.485052,-1.115001,0.674447,-1.118827,0.870353,-1.011812
2730.00,0.853866,-1.014943,0.483190,-1.087987,0.644447,-1.119892,0.845808,-1.037307
2740.00,0.871775,-1.044383,0.496079,-1.057987,0.628903,-1.106430,0.815808,-1.067307
2750.00,0.874855,-1.074383,0.523365,-1.027987,0.628165,-1.078618,0.785808,-1.097307
2760.00,0.863156,-1.103222,0.553365,-1.000000,0.642164,-1.048618,0.757659,-1.118702
2770.00,0.836654,-1.117534,0.583365,-1.000000,0.670970,-1.018618,0.743871,-1.125306
2780.00,0.806654,-1.117084,0.602598,-1.000000,0.700970,-1.000000,0.744704,-1.117155
2790.00,0.776654,-1.101874,0.606995,-1.014038,0.730970,-1.000000,0.760119,-1.094379
2800.00,0.748860,-1.071893,0.596551,-1.042859,0.747682,-1.010375,0.789693,-1.064379
2810.00,0.735790,-1.041893,0.571292,-1.072859,0.749500,-1.035542,0.819693,-1.034379
2820.00,0.737548,-1.011893,0.541292,-1.102859,0.736495,-1.065542,0.849693,-1.004379
